,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday,Datetime
220,54 F,39 F,58 %,SE,5 mph,0 mph,30.2 in,0,2017-01-05 14:00:00
221,54 F,39 F,58 %,SE,5 mph,0 mph,30.2 in,0,2017-01-05 15:00:00
222,54 F,41 F,62 %,ESE,3 mph,0 mph,30.2 in,0,2017-01-05 15:00:00
223,54 F,41 F,62 %,ESE,5 mph,0 mph,30.2 in,0,2017-01-05 16:00:00
224,54 F,41 F,62 %,SE,3 mph,0 mph,30.2 in,0,2017-01-05 16:00:00
225,52 F,41 F,67 %,VAR,2 mph,0 mph,30.2 in,0,2017-01-05 17:00:00
226,52 F,41 F,67 %,CALM,0 mph,0 mph,30.2 in,0,2017-01-05 17:00:00
227,52 F,41 F,67 %,VAR,2 mph,0 mph,30.2 in,0,2017-01-05 18:00:00
228,52 F,41 F,67 %,CALM,0 mph,0 mph,30.2 in,0,2017-01-05 18:00:00
229,52 F,43 F,71 %,CALM,0 mph,0 mph,30.2 in,0,2017-01-05 19:00:00
230,52 F,43 F,71 %,NW,3 mph,0 mph,30.3 in,0,2017-01-05 19:00:00
231,50 F,41 F,71 %,NW,5 mph,0 mph,30.3 in,0,2017-01-05 20:00:00
232,48 F,41 F,76 %,NNW,7 mph,0 mph,30.3 in,0,2017-01-05 20:00:00
233,46 F,34 F,62 %,NNW,8 mph,0 mph,30.3 in,0,2017-01-05 21:00:00
234,46 F,32 F,57 %,NNW,8 mph,0 mph,30.3 in,0,2017-01-05 21:00:00
235,46 F,32 F,57 %,NNW,10 mph,0 mph,30.3 in,0,2017-01-05 22:00:00
236,45 F,30 F,57 %,NNW,12 mph,0 mph,30.3 in,0,2017-01-05 22:00:00
237,43 F,30 F,61 %,NNW,10 mph,0 mph,30.3 in,0,2017-01-05 23:00:00
238,43 F,30 F,61 %,NNW,12 mph,0 mph,30.3 in,0,2017-01-05 23:00:00
239,41 F,30 F,65 %,NNW,10 mph,0 mph,30.3 in,1,2017-01-06 00:00:00
240,41 F,30 F,65 %,NNW,10 mph,0 mph,30.3 in,1,2017-01-06 00:00:00
241,39 F,30 F,70 %,NNW,12 mph,0 mph,30.3 in,1,2017-01-06 01:00:00
242,39 F,30 F,70 %,NNW,13 mph,0 mph,30.3 in,1,2017-01-06 01:30:00
243,39 F,28 F,65 %,NNW,14 mph,0 mph,30.3 in,1,2017-01-06 02:00:00
244,39 F,28 F,65 %,NNW,14 mph,0 mph,30.3 in,1,2017-01-06 02:30:00
245,39 F,28 F,65 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-06 03:00:00
246,37 F,28 F,70 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-06 03:30:00
247,37 F,28 F,70 %,NNW,17 mph,0 mph,30.3 in,1,2017-01-06 04:00:00
248,37 F,28 F,70 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-06 04:30:00
249,36 F,28 F,75 %,NNW,16 mph,0 mph,30.3 in,1,2017-01-06 05:00:00
250,36 F,28 F,75 %,NNW,17 mph,0 mph,30.3 in,1,2017-01-06 05:30:00
251,36 F,28 F,75 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-06 06:00:00
252,36 F,27 F,70 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-06 06:30:00
253,36 F,27 F,70 %,NNW,16 mph,0 mph,30.3 in,1,2017-01-06 07:00:00
254,36 F,27 F,70 %,NNW,13 mph,0 mph,30.3 in,1,2017-01-06 07:30:00
255,36 F,27 F,70 %,NNW,16 mph,0 mph,30.3 in,1,2017-01-06 08:00:00
256,36 F,27 F,70 %,NNW,15 mph,0 mph,30.3 in,1,2017-01-06 08:30:00
257,36 F,27 F,70 %,NNW,17 mph,32 mph,30.4 in,1,2017-01-06 09:00:00
258,36 F,28 F,75 %,NNW,17 mph,0 mph,30.4 in,1,2017-01-06 09:30:00
259,37 F,28 F,70 %,NW,16 mph,0 mph,30.4 in,1,2017-01-06 10:00:00
260,39 F,28 F,65 %,NNW,15 mph,0 mph,30.4 in,1,2017-01-06 10:30:00
261,41 F,28 F,61 %,NNW,14 mph,0 mph,30.4 in,1,2017-01-06 11:00:00
262,45 F,28 F,53 %,NNW,13 mph,0 mph,30.4 in,1,2017-01-06 11:30:00
263,46 F,30 F,53 %,NW,10 mph,0 mph,30.4 in,1,2017-01-06 12:00:00
264,48 F,32 F,54 %,NNW,9 mph,0 mph,30.4 in,1,2017-01-06 12:00:00
265,50 F,32 F,50 %,NNW,6 mph,21 mph,30.4 in,1,2017-01-06 13:00:00
266,52 F,34 F,50 %,WNW,1 mph,0 mph,30.4 in,1,2017-01-06 13:00:00
267,55 F,37 F,51 %,WSW,5 mph,0 mph,30.4 in,1,2017-01-06 14:00:00
268,52 F,37 F,58 %,SW,6 mph,0 mph,30.3 in,1,2017-01-06 14:00:00
269,52 F,39 F,62 %,SSW,7 mph,0 mph,30.3 in,1,2017-01-06 15:00:00
270,54 F,39 F,58 %,S,5 mph,0 mph,30.3 in,1,2017-01-06 15:00:00
271,54 F,39 F,58 %,S,6 mph,0 mph,30.3 in,1,2017-01-06 16:00:00
272,52 F,37 F,58 %,S,5 mph,0 mph,30.3 in,1,2017-01-06 16:00:00
273,52 F,39 F,62 %,S,3 mph,0 mph,30.4 in,1,2017-01-06 17:00:00
274,52 F,39 F,62 %,VAR,2 mph,0 mph,30.4 in,1,2017-01-06 17:00:00
275,50 F,36 F,58 %,CALM,0 mph,0 mph,30.4 in,1,2017-01-06 18:00:00
276,48 F,37 F,66 %,CALM,0 mph,0 mph,30.4 in,1,2017-01-06 18:00:00
277,46 F,37 F,71 %,VAR,2 mph,0 mph,30.4 in,1,2017-01-06 19:00:00
278,45 F,37 F,76 %,NW,5 mph,0 mph,30.4 in,1,2017-01-06 19:00:00
279,45 F,37 F,76 %,NW,7 mph,0 mph,30.4 in,1,2017-01-06 20:00:00
280,43 F,37 F,81 %,NW,5 mph,0 mph,30.4 in,1,2017-01-06 20:00:00
