,Datetime,Weekday,Part of the day,counts,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday
1504,2017-04-17 20:00:00,Monday,Afternoon,1,63 F,57 F,82 %,SW,14 mph,0 mph,30.0 in,1.0
1505,2017-04-17 21:00:00,Monday,Afternoon,1,63 F,57 F,82 %,SW,14 mph,0 mph,30.0 in,1.0
1506,2017-04-17 22:00:00,Monday,Night,1,61 F,57 F,88 %,SW,8 mph,0 mph,30.0 in,1.0
1507,2017-04-18 01:00:00,Tuesday,Night,1,59 F,54 F,82 %,WNW,5 mph,0 mph,30.0 in,0.0
1508,2017-04-18 07:00:00,Tuesday,Morning,1,55 F,52 F,88 %,NNW,8 mph,0 mph,29.9 in,0.0
1509,2017-04-18 08:00:00,Tuesday,Morning,2,55 F,52 F,88 %,NW,6 mph,0 mph,30.0 in,0.0
1510,2017-04-18 09:00:00,Tuesday,Morning,5,59 F,54 F,82 %,NNW,6 mph,0 mph,30.0 in,0.0
1511,2017-04-18 12:00:00,Tuesday,Morning,3,64 F,55 F,73 %,S,7 mph,0 mph,30.0 in,0.0
1512,2017-04-18 13:00:00,Tuesday,Morning,2,63 F,55 F,77 %,S,12 mph,0 mph,30.0 in,0.0
1513,2017-04-18 14:00:00,Tuesday,Afternoon,2,66 F,57 F,73 %,S,12 mph,0 mph,30.0 in,0.0
1514,2017-04-18 15:00:00,Tuesday,Afternoon,1,66 F,57 F,73 %,S,12 mph,0 mph,30.0 in,0.0
1515,2017-04-18 17:00:00,Tuesday,Afternoon,3,64 F,57 F,77 %,ESE,8 mph,0 mph,29.9 in,0.0
1516,2017-04-18 18:00:00,Tuesday,Afternoon,1,64 F,57 F,77 %,ESE,8 mph,0 mph,29.9 in,0.0
1517,2017-04-18 19:00:00,Tuesday,Afternoon,3,64 F,57 F,77 %,SSE,7 mph,0 mph,30.0 in,0.0
1518,2017-04-18 20:00:00,Tuesday,Afternoon,1,63 F,55 F,77 %,SSE,8 mph,0 mph,30.0 in,0.0
1519,2017-04-18 21:00:00,Tuesday,Afternoon,1,63 F,55 F,77 %,SSE,8 mph,0 mph,30.0 in,0.0
1520,2017-04-18 22:00:00,Tuesday,Night,1,63 F,54 F,72 %,SSE,5 mph,0 mph,30.0 in,0.0
1521,2017-04-19 07:00:00,Wednesday,Morning,2,57 F,34 F,41 %,ENE,14 mph,0 mph,30.1 in,0.0
1522,2017-04-19 09:00:00,Wednesday,Morning,2,55 F,32 F,41 %,NE,3 mph,0 mph,30.1 in,0.0
1523,2017-04-19 10:00:00,Wednesday,Morning,3,55 F,34 F,44 %,ENE,10 mph,0 mph,30.1 in,0.0
1524,2017-04-19 11:00:00,Wednesday,Morning,1,55 F,32 F,41 %,NE,8 mph,0 mph,30.1 in,0.0
1525,2017-04-19 12:00:00,Wednesday,Morning,3,55 F,37 F,51 %,NNW,2 mph,0 mph,30.2 in,0.0
1526,2017-04-19 13:00:00,Wednesday,Morning,6,59 F,28 F,31 %,NE,10 mph,0 mph,30.2 in,0.0
1527,2017-04-19 14:00:00,Wednesday,Afternoon,2,61 F,39 F,45 %,ENE,13 mph,0 mph,30.2 in,0.0
1528,2017-04-19 15:00:00,Wednesday,Afternoon,2,63 F,37 F,39 %,E,16 mph,0 mph,30.1 in,0.0
