,Datetime,Weekday,Part of the day
538,2017-02-09 13:00:00,Thursday,Morning
539,2017-02-09 14:00:00,Thursday,Afternoon
540,2017-02-09 15:00:00,Thursday,Afternoon
541,2017-02-09 16:00:00,Thursday,Afternoon
542,2017-02-09 17:00:00,Thursday,Afternoon
543,2017-02-09 18:00:00,Thursday,Afternoon
544,2017-02-09 19:00:00,Thursday,Afternoon
545,2017-02-09 20:00:00,Thursday,Afternoon
546,2017-02-09 21:00:00,Thursday,Afternoon
547,2017-02-09 22:00:00,Thursday,Night
548,2017-02-10 07:00:00,Friday,Morning
549,2017-02-10 09:00:00,Friday,Morning
550,2017-02-10 10:00:00,Friday,Morning
551,2017-02-10 11:00:00,Friday,Morning
552,2017-02-10 12:00:00,Friday,Morning
553,2017-02-10 13:00:00,Friday,Morning
554,2017-02-10 14:00:00,Friday,Afternoon
555,2017-02-10 15:00:00,Friday,Afternoon
556,2017-02-10 16:00:00,Friday,Afternoon
557,2017-02-10 17:00:00,Friday,Afternoon
558,2017-02-10 18:00:00,Friday,Afternoon
559,2017-02-10 19:00:00,Friday,Afternoon
560,2017-02-10 20:00:00,Friday,Afternoon
561,2017-02-10 22:00:00,Friday,Night
562,2017-02-10 23:00:00,Friday,Night
