,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Date,State Holiday
120,12:00:00,46 F,36 F,66 %,NW,14 mph,0 mph,30.2 in,1-3,0
121,24:00:00,46 F,36 F,66 %,NW,13 mph,24 mph,30.2 in,1-3,0
122,13:00:00,50 F,37 F,62 %,NW,12 mph,25 mph,30.2 in,1-3,0
123,13:00:00,50 F,39 F,66 %,NW,9 mph,0 mph,30.2 in,1-3,0
124,14:00:00,50 F,39 F,66 %,NNW,8 mph,0 mph,30.2 in,1-3,0
125,14:00:00,52 F,39 F,62 %,NW,8 mph,0 mph,30.2 in,1-3,0
126,15:00:00,52 F,39 F,62 %,NW,6 mph,0 mph,30.2 in,1-3,0
127,15:00:00,54 F,41 F,62 %,NNW,5 mph,0 mph,30.2 in,1-3,0
128,16:00:00,54 F,41 F,62 %,NW,3 mph,0 mph,30.2 in,1-3,0
129,16:00:00,52 F,39 F,62 %,NNW,3 mph,0 mph,30.2 in,1-3,0
130,17:00:00,52 F,39 F,62 %,NW,5 mph,0 mph,30.2 in,1-3,0
131,17:00:00,50 F,39 F,66 %,NW,5 mph,0 mph,30.2 in,1-3,0
132,18:00:00,50 F,39 F,66 %,NNW,7 mph,0 mph,30.2 in,1-3,0
133,18:00:00,50 F,37 F,62 %,NNW,7 mph,0 mph,30.2 in,1-3,0
134,19:00:00,48 F,39 F,71 %,NW,8 mph,0 mph,30.2 in,1-3,0
135,19:00:00,46 F,37 F,71 %,NNW,12 mph,0 mph,30.2 in,1-3,0
136,20:00:00,46 F,37 F,71 %,NW,10 mph,0 mph,30.2 in,1-3,0
137,20:00:00,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,1-3,0
138,21:00:00,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,1-3,0
139,21:00:00,45 F,36 F,71 %,NNW,12 mph,0 mph,30.2 in,1-3,0
140,22:00:00,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,1-3,0
141,22:00:00,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,1-3,0
142,23:00:00,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,1-3,0
143,23:00:00,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,1-3,0
144,00:00:00,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,1-4,0
145,12:30:00,43 F,36 F,76 %,NNW,13 mph,0 mph,30.2 in,1-4,0
146,1:00:00,43 F,36 F,76 %,NNW,10 mph,0 mph,30.2 in,1-4,0
147,1:30:00,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,1-4,0
148,2:00:00,43 F,36 F,76 %,NNW,12 mph,0 mph,30.2 in,1-4,0
149,2:30:00,45 F,37 F,76 %,NNW,13 mph,0 mph,30.2 in,1-4,0
150,3:00:00,43 F,37 F,81 %,NNW,12 mph,0 mph,30.2 in,1-4,0
151,3:30:00,45 F,37 F,76 %,NNW,12 mph,0 mph,30.2 in,1-4,0
152,4:00:00,45 F,37 F,76 %,NNW,12 mph,0 mph,30.2 in,1-4,0
153,4:30:00,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,1-4,0
154,5:00:00,45 F,37 F,76 %,NNW,12 mph,0 mph,30.2 in,1-4,0
155,5:30:00,45 F,37 F,76 %,NNW,13 mph,0 mph,30.2 in,1-4,0
156,6:00:00,45 F,37 F,76 %,NW,12 mph,0 mph,30.2 in,1-4,0
157,6:30:00,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,1-4,0
158,7:00:00,45 F,37 F,76 %,NNW,12 mph,0 mph,30.2 in,1-4,0
159,7:30:00,45 F,37 F,76 %,NNW,10 mph,0 mph,30.2 in,1-4,0
160,8:00:00,45 F,37 F,76 %,NW,12 mph,0 mph,30.2 in,1-4,0
161,8:30:00,45 F,36 F,71 %,NNW,12 mph,0 mph,30.2 in,1-4,0
162,9:00:00,45 F,37 F,76 %,NNW,12 mph,23 mph,30.2 in,1-4,0
163,9:30:00,46 F,37 F,71 %,NW,14 mph,0 mph,30.2 in,1-4,0
164,10:00:00,46 F,37 F,71 %,NNW,14 mph,0 mph,30.2 in,1-4,0
165,10:30:00,48 F,39 F,71 %,NNW,12 mph,23 mph,30.2 in,1-4,0
166,11:00:00,50 F,39 F,66 %,NNW,10 mph,0 mph,30.2 in,1-4,0
167,11:30:00,50 F,39 F,66 %,NNW,10 mph,0 mph,30.2 in,1-4,0
168,12:00:00,52 F,39 F,62 %,NNW,10 mph,0 mph,30.2 in,1-4,0
169,24:00:00,54 F,39 F,58 %,NW,7 mph,0 mph,30.2 in,1-4,0
170,13:00:00,54 F,41 F,62 %,NW,7 mph,0 mph,30.2 in,1-4,0
171,13:00:00,55 F,43 F,63 %,VAR,2 mph,0 mph,30.2 in,1-4,0
172,14:00:00,55 F,45 F,67 %,SW,5 mph,0 mph,30.1 in,1-4,0
173,14:00:00,55 F,45 F,67 %,SW,7 mph,0 mph,30.1 in,1-4,0
174,15:00:00,55 F,45 F,67 %,SSW,8 mph,0 mph,30.1 in,1-4,0
175,15:00:00,55 F,45 F,67 %,SW,10 mph,0 mph,30.1 in,1-4,0
176,16:00:00,55 F,45 F,67 %,SW,12 mph,0 mph,30.1 in,1-4,0
177,16:00:00,55 F,41 F,58 %,SW,8 mph,0 mph,30.1 in,1-4,0
178,17:00:00,55 F,41 F,58 %,NW,3 mph,0 mph,30.1 in,1-4,0
