,Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime.1
4262,2017-01-09 08:00:00,2017S000181    ,Eixample,Monday,Morning,1,0,1,2,2.169936,41.399124,2017-01-09 08:00:00
3914,2017-01-09 09:00:00,2017S000182    ,Sant Martí,Monday,Morning,1,0,1,2,2.208531,41.409255,2017-01-09 09:00:00
5639,2017-01-09 11:00:00,2017S000185    ,Eixample,Monday,Morning,1,0,1,2,2.169144,41.39382,2017-01-09 11:00:00
1440,2017-01-09 12:00:00,2017S000186    ,Ciutat Vella,Monday,Morning,0,0,0,1,2.166382,41.38087,2017-01-09 12:00:00
2377,2017-01-09 13:00:00,2017S000191    ,Nou Barris,Monday,Morning,1,0,1,2,2.164981,41.441179,2017-01-09 13:00:00
2642,2017-01-09 14:00:00,2017S000195    ,Sant Martí,Monday,Afternoon,2,0,2,1,2.189173,41.396468,2017-01-09 14:00:00
2353,2017-01-09 15:00:00,2017S000239    ,Horta-Guinardó,Monday,Afternoon,1,0,1,1,2.171839,41.418317,2017-01-09 15:00:00
466,2017-01-09 16:00:00,2017S000197    ,Eixample,Monday,Afternoon,1,0,1,2,2.1686490000000003,41.398399,2017-01-09 16:00:00
7603,2017-01-09 17:00:00,2017S000198    ,Nou Barris,Monday,Afternoon,2,0,2,2,2.172473,41.437502,2017-01-09 17:00:00
4686,2017-01-09 18:00:00,2017S000200    ,Sarrià-Sant Gervasi,Monday,Afternoon,2,0,2,2,2.132978,41.397506,2017-01-09 18:00:00
8354,2017-01-09 19:00:00,2017S000202    ,Sants-Montjuïc,Monday,Afternoon,1,0,1,1,2.160827,41.373154,2017-01-09 19:00:00
5845,2017-01-09 21:00:00,2017S000207    ,Sants-Montjuïc,Monday,Afternoon,2,0,2,2,2.126329,41.375593,2017-01-09 21:00:00
263,2017-01-09 22:00:00,2017S000205    ,Eixample,Monday,Night,1,0,1,2,2.154035,41.37874,2017-01-09 22:00:00
1919,2017-01-09 23:00:00,2017S000206    ,Sants-Montjuïc,Monday,Night,1,0,1,3,2.146262,41.373206,2017-01-09 23:00:00
5895,2017-01-10 02:00:00,2017S000208    ,Les Corts,Tuesday,Night,0,0,0,1,2.12969,41.388469,2017-01-10 02:00:00
4350,2017-01-10 08:00:00,2017S000209    ,Eixample,Tuesday,Morning,1,0,1,3,2.169128,41.391345,2017-01-10 08:00:00
2112,2017-01-10 09:00:00,2017S000211    ,Sarrià-Sant Gervasi,Tuesday,Morning,1,0,1,2,2.122062,41.391882,2017-01-10 09:00:00
1239,2017-01-10 10:00:00,2017S000219    ,Sant Andreu,Tuesday,Morning,3,0,3,4,2.205163,41.444756,2017-01-10 10:00:00
1747,2017-01-10 11:00:00,2017S000218    ,Eixample,Tuesday,Morning,2,0,2,2,2.164569,41.387984,2017-01-10 11:00:00
4711,2017-01-10 12:00:00,2017S000220    ,Sarrià-Sant Gervasi,Tuesday,Morning,1,0,1,2,2.114053,41.399263,2017-01-10 12:00:00
4755,2017-01-10 13:00:00,2017S000224    ,Sarrià-Sant Gervasi,Tuesday,Morning,1,0,1,2,2.137103,41.409426,2017-01-10 13:00:00
4413,2017-01-10 14:00:00,2017S000287    ,Eixample,Tuesday,Afternoon,1,0,1,1,2.174027,41.409122,2017-01-10 14:00:00
10013,2017-01-10 15:00:00,2017S000231    ,Sarrià-Sant Gervasi,Tuesday,Afternoon,1,0,1,2,2.1278650000000003,41.408507,2017-01-10 15:00:00
2735,2017-01-10 16:00:00,2017S000230    ,Ciutat Vella,Tuesday,Afternoon,1,0,1,2,2.171745,41.38711,2017-01-10 16:00:00
2270,2017-01-10 17:00:00,2017S000243    ,Gràcia,Tuesday,Afternoon,1,0,1,2,2.170917,41.403509,2017-01-10 17:00:00
1554,2017-01-10 18:00:00,2017S000236    ,Eixample,Tuesday,Afternoon,1,0,1,2,2.161465,41.397016,2017-01-10 18:00:00
7895,2017-01-10 19:00:00,2017S000240    ,Sant Martí,Tuesday,Afternoon,1,0,1,2,2.197259,41.393964,2017-01-10 19:00:00
4968,2017-01-10 21:00:00,2017S000241    ,Nou Barris,Tuesday,Afternoon,1,0,1,2,2.18741,41.44683,2017-01-10 21:00:00
4186,2017-01-10 22:00:00,2017S000242    ,Eixample,Tuesday,Night,1,0,1,2,2.1483830000000004,41.375432,2017-01-10 22:00:00
11,2017-01-11 07:00:00,2017S000245    ,Sant Martí,Wednesday,Morning,1,0,1,2,2.180453,41.41579,2017-01-11 07:00:00
544,2017-01-11 09:00:00,2017S000248    ,Eixample,Wednesday,Morning,2,0,2,2,2.162906,41.390878,2017-01-11 09:00:00
1266,2017-01-11 11:00:00,2017S000445    ,Sant Martí,Wednesday,Morning,1,0,1,2,2.183461,41.411849,2017-01-11 11:00:00
1297,2017-01-11 13:00:00,2017S000251    ,Sant Martí,Wednesday,Morning,1,0,1,2,2.187444,41.41501,2017-01-11 13:00:00
1253,2017-01-11 14:00:00,2017S000252    ,Unknown,Wednesday,Afternoon,2,0,2,2,2.19356,41.44928400000001,2017-01-11 14:00:00
4746,2017-01-11 15:00:00,2017S000253    ,Sarrià-Sant Gervasi,Wednesday,Afternoon,1,0,1,2,2.129917,41.39251,2017-01-11 15:00:00
