Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Date,State Holiday
9:30 PM,46 F,34 F,62 %,NNW,13 mph,0 mph,30.1 in,1/4,0
10:00 PM,45 F,34 F,66 %,NNW,10 mph,0 mph,30.1 in,1/4,0
10:30 PM,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,1/4,0
11:00 PM,45 F,32 F,61 %,NNW,15 mph,0 mph,30.1 in,1/4,0
11:30 PM,43 F,32 F,66 %,NNW,13 mph,0 mph,30.1 in,1/4,0
12:00 AM,43 F,32 F,66 %,NW,10 mph,0 mph,30.1 in,1/5,0
12:30 AM,43 F,32 F,66 %,NNW,12 mph,0 mph,30.1 in,1/5,0
1:00 AM,43 F,32 F,66 %,NW,13 mph,0 mph,30.1 in,1/5,0
1:30 AM,43 F,34 F,70 %,NW,10 mph,0 mph,30.1 in,1/5,0
2:00 AM,43 F,32 F,66 %,NNW,13 mph,0 mph,30.1 in,1/5,0
2:30 AM,43 F,32 F,66 %,NNW,15 mph,0 mph,30.1 in,1/5,0
3:00 AM,43 F,32 F,66 %,NNW,14 mph,0 mph,30.1 in,1/5,0
3:30 AM,41 F,32 F,70 %,NW,16 mph,0 mph,30.1 in,1/5,0
4:00 AM,41 F,32 F,70 %,NNW,12 mph,0 mph,30.1 in,1/5,0
4:30 AM,41 F,32 F,70 %,NW,15 mph,0 mph,30.1 in,1/5,0
5:00 AM,41 F,32 F,70 %,NW,15 mph,0 mph,30.1 in,1/5,0
5:30 AM,39 F,32 F,75 %,NW,14 mph,0 mph,30.1 in,1/5,0
6:00 AM,39 F,32 F,75 %,NW,15 mph,0 mph,30.1 in,1/5,0
6:30 AM,41 F,32 F,70 %,NNW,14 mph,0 mph,30.1 in,1/5,0
7:00 AM,41 F,30 F,65 %,NW,13 mph,0 mph,30.1 in,1/5,0
7:30 AM,41 F,30 F,65 %,NNW,12 mph,0 mph,30.1 in,1/5,0
8:00 AM,41 F,30 F,65 %,NW,14 mph,0 mph,30.1 in,1/5,0
8:30 AM,39 F,30 F,70 %,NNW,14 mph,0 mph,30.1 in,1/5,0
9:00 AM,41 F,30 F,65 %,NW,14 mph,0 mph,30.2 in,1/5,0
9:30 AM,41 F,30 F,65 %,NW,16 mph,0 mph,30.2 in,1/5,0
10:00 AM,41 F,30 F,65 %,NNW,16 mph,0 mph,30.2 in,1/5,0
10:30 AM,43 F,30 F,61 %,NNW,15 mph,0 mph,30.2 in,1/5,0
