Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime
2017-04-29 14:00:00,2017S003816    ,Sant Martí,Saturday,Afternoon,1,0,1,2,2.2028939999999997,41.413519,2017-04-29 14:00:00
2017-07-10 14:00:00,2017S005995    ,Sant Martí,Monday,Afternoon,1,0,1,1,2.205048,41.414983,2017-07-10 14:00:00
2017-01-22 19:00:00,2017S000591    ,Sant Martí,Sunday,Afternoon,1,0,1,1,2.201634,41.414446999999996,2017-01-22 19:00:00
2017-03-07 09:00:00,2017S001862    ,Sant Martí,Tuesday,Morning,1,0,1,2,2.2030380000000003,41.40997,2017-03-07 09:00:00
2017-04-14 11:00:00,2017S003392    ,Sant Martí,Friday,Morning,1,0,1,2,2.20736,41.410118,2017-04-14 11:00:00
2017-09-16 22:00:00,2017S007682    ,Sant Martí,Saturday,Night,1,0,1,2,2.198352,41.406690000000005,2017-09-16 22:00:00
2017-05-18 10:00:00,2017S004402    ,Sant Martí,Thursday,Morning,1,0,1,2,2.193796,41.406675,2017-05-18 10:00:00
2017-02-21 08:00:00,2017S001437    ,Sant Martí,Tuesday,Morning,1,0,1,1,2.208511,41.407540000000004,2017-02-21 08:00:00
2017-11-30 19:00:00,2017S009997    ,Sant Martí,Thursday,Afternoon,2,0,2,2,2.20452,41.407344,2017-11-30 19:00:00
2017-05-17 09:00:00,2017S004372    ,Sant Martí,Wednesday,Morning,1,0,1,1,2.210245,41.404509000000004,2017-05-17 09:00:00
2017-05-12 12:00:00,2017S004224    ,Sant Martí,Friday,Morning,0,0,0,2,2.209333,41.403729,2017-05-12 12:00:00
2017-05-03 07:00:00,2017S003904    ,Sant Martí,Wednesday,Morning,1,0,1,1,2.209629,41.40958,2017-05-03 07:00:00
2017-06-25 20:00:00,2017S005550    ,Sant Martí,Sunday,Afternoon,3,0,3,4,2.205233,41.401617,2017-06-25 20:00:00
2017-04-20 17:00:00,2017S003533    ,Sant Martí,Thursday,Afternoon,1,0,1,1,2.196057,41.404944,2017-04-20 17:00:00
2017-08-26 09:00:00,2017S007185    ,Sant Martí,Saturday,Morning,0,0,0,1,2.202391,41.406085,2017-08-26 09:00:00
2017-04-30 11:00:00,2017S003838    ,Sant Martí,Sunday,Morning,2,0,2,3,2.200855,41.401938,2017-04-30 11:00:00
2017-10-14 18:00:00,2017S008465    ,Sant Martí,Saturday,Afternoon,2,0,2,2,2.204611,41.393827,2017-10-14 18:00:00
2017-04-23 15:00:00,2017S003629    ,Sant Martí,Sunday,Afternoon,5,0,5,5,2.2018,41.392004,2017-04-23 15:00:00
2017-05-22 09:00:00,2017S004526    ,Sant Martí,Monday,Morning,1,0,1,2,2.205981,41.395376,2017-05-22 09:00:00
2017-03-27 08:00:00,2017S002436    ,Sant Martí,Monday,Morning,1,0,1,2,2.203103,41.393091999999996,2017-03-27 08:00:00
2017-04-01 18:00:00,2017S003016    ,Sant Martí,Saturday,Afternoon,1,0,1,2,2.1868689999999997,41.393128999999995,2017-04-01 18:00:00
2017-04-10 15:00:00,2017S003290    ,Sant Martí,Monday,Afternoon,2,0,2,2,2.190224,41.392272999999996,2017-04-10 15:00:00
2017-05-16 12:00:00,2017S004342    ,Sant Martí,Tuesday,Morning,1,0,1,2,2.1858049999999998,41.393971,2017-05-16 12:00:00
2017-07-11 09:00:00,2017S006013    ,Sant Martí,Tuesday,Morning,1,0,1,1,2.187949,41.393957,2017-07-11 09:00:00
2017-01-17 14:00:00,2017S000456    ,Sant Martí,Tuesday,Afternoon,1,0,1,2,2.1897349999999998,41.396734,2017-01-17 14:00:00
